Security,Block,Prev_Quality,New_Quality,Quality_Loss,Final_Return
A,1,16.85082872928177,3.260869565217391,13.589959164064378,108.15683866567647
A,6,12.761506276150628,3.968253968253968,8.79325230789666,108.15683866567647
A,9,9.266409266409266,2.272727272727273,6.993681993681992,108.15683866567647
AA,3,11.18421052631579,4.891304347826087,6.2929061784897025,135.26108523266905
AAALY,2,17.46031746031746,8.98876404494382,8.471553415373638,-25.542750833206124
AAALY,3,8.98876404494382,0.4710975299210593,8.517666515022762,-25.542750833206124
AABB,3,11.971830985915492,2.8735632183908044,9.098267767524687,1619.689372641135
AABB,6,18.0327868852459,10.588235294117649,7.444551591128253,1619.689372641135
AABB,8,9.266409266409266,2.185792349726776,7.080616916682489,1619.689372641135
AABVF,6,12.761506276150628,5.58659217877095,7.174914097379679,306.6666679084305
AACAF,2,18.75,11.18421052631579,7.565789473684211,-13.591085111101492
AACAF,4,15.903614457831324,5.864197530864197,10.039416926967128,-13.591085111101492
AACAY,2,18.75,11.18421052631579,7.565789473684211,-23.567729741152608
AACAY,4,15.903614457831324,5.864197530864197,10.039416926967128,-23.567729741152608
AACG,1,19.047619047619047,5.387205387205387,13.66041366041366,28.934287653606525
AACG,3,9.523809523809524,3.11284046692607,6.410969056883454,28.934287653606525
AACG,7,10.869565217391305,2.145922746781116,8.723642470610189,28.934287653606525
AACS,1,14.7766323024055,8.21917808219178,6.557454220213721,47.27272552410477
AACS,4,15.584415584415584,4.975124378109453,10.609291206306132,47.27272552410477
AACS,7,12.5,7.042253521126761,5.457746478873239,47.27272552410477
AAGC,1,19.047619047619047,12.790697674418606,6.256921373200441,1376.1904851003037
AAGC,4,10.256410256410255,4.132231404958678,6.124178851451577,1376.1904851003037
AAGFF,2,27.884615384615387,7.865168539325842,20.019446845289544,86.48332152444657
AAGFF,4,13.461538461538462,2.941176470588235,10.520361990950226,86.48332152444657
AAGFF,6,18.0327868852459,8.21917808219178,9.813608803054121,86.48332152444657
AAGFF,8,10.024449877750612,3.937007874015748,6.087442003734864,86.48332152444657
AAGH,1,8.88888888888889,2.9702970297029703,5.918591859185919,772.7056374058545
AAGIY,1,9.79020979020979,2.6537997587454765,7.1364100314643135,17.903351618244333
AAGIY,7,11.224489795918368,4.605263157894736,6.6192266380236315,17.903351618244333
AAGIY,9,9.266409266409266,2.4242424242424243,6.842166842166842,17.903351618244333
AAIGF,1,9.79020979020979,2.6537997587454765,7.1364100314643135,18.66638790591053
AAIGF,7,11.224489795918368,4.605263157894736,6.6192266380236315,18.66638790591053
AAIGF,9,9.266409266409266,2.4242424242424243,6.842166842166842,18.66638790591053
AAIIQ,2,12.0,6.097560975609756,5.902439024390244,-67.84565927953473
AAL,2,17.46031746031746,4.326923076923077,13.133394383394382,-28.15840028491575
AAMAF,6,7.777777777777778,2.419354838709677,5.358422939068101,-70.30901314426188
AAME,3,10.714285714285714,4.891304347826087,5.822981366459627,80.30954255193019
AAME,8,9.090909090909092,3.5000000000000004,5.590909090909092,80.30954255193019
AAMTF,1,12.093023255813954,3.260869565217391,8.832153690596563,28.86363608654866
AAMTF,8,35.13513513513514,9.523809523809524,25.61132561132561,28.86363608654866
AAMTF,9,9.523809523809524,3.7593984962406015,5.764411027568922,28.86363608654866
AAOI,2,15.18987341772152,6.557377049180328,8.632496368541192,-32.34013832585939
AAON,1,11.304347826086955,3.658536585365853,7.645811240721102,40.51058396036584
AAON,3,12.087912087912088,5.907172995780591,6.180739092131496,40.51058396036584
AAON,5,9.649122807017545,3.896103896103896,5.7530189109136485,40.51058396036584
AAON,9,15.774647887323944,2.4242424242424243,13.35040546308152,40.51058396036584
AAP,2,17.5,6.334841628959276,11.165158371040725,28.648819920001245
AAP,8,15.217391304347828,5.172413793103448,10.04497751124438,28.648819920001245
AAPI,1,9.230769230769232,3.0534351145038165,6.177334116265415,-36.17021211837416
AAPI,8,11.538461538461538,5.172413793103448,6.36604774535809,-36.17021211837416
AAPL,6,11.475409836065571,5.555555555555555,5.919854280510016,135.91643956855697
AAPL,8,15.217391304347828,4.666666666666667,10.55072463768116,135.91643956855697
AAPT,3,6.451612903225806,0.4710975299210593,5.980515373304747,23414.286277654373
AAPT,8,10.493827160493826,4.62962962962963,5.864197530864196,23414.286277654373
AASP,4,11.267605633802818,5.376344086021505,5.891261547781313,34.504131106769826
AASP,7,16.5266106442577,2.832244008714597,13.694366635543105,34.504131106769826
AAT,3,14.332247557003258,6.0,8.332247557003258,-19.99578974313443
AAT,5,30.46875,2.272727272727273,28.196022727272727,-19.99578974313443
AATC,2,15.18987341772152,6.336633663366337,8.853239754355183,55.40712555475163
AATC,4,11.620294599018004,2.941176470588235,8.679118128429769,55.40712555475163
AATC,8,9.550561797752808,3.508771929824561,6.041789867928246,55.40712555475163
AATGF,2,10.625,0.5821875387092779,10.042812461290723,256.60000445793105
AATGF,6,11.604095563139932,6.086956521739131,5.517139041400801,256.60000445793105
AATGF,7,6.086956521739131,0.5016969160395455,5.585259605699585,256.60000445793105
AATRL,1,9.230769230769232,3.260869565217391,5.969899665551841,18.100041118321617
AATV,1,12.587412587412588,5.084745762711865,7.502666824700723,39.450982775426056
