Security,Composite_Quality_Event_Rank,Net_Quality_Delta,Quality_Momentum_Score,Weighted_Avg_Final_Return
ASLRF,0.8881775333857032,10.946830890336592,11020.38619518936,1006.7193241212576
AAEEF,0.8695993715632365,8.669273143432884,4652.112314156577,536.6208028271237
APCX,0.8609583660644149,7.548185690528653,4690.658152756915,621.4285584736847
AYASF,0.8562058130400629,7.836361089058047,2684.184971197467,342.52951602056834
BFNH,0.8541241162608013,7.376543209876544,2918.428802081195,395.6363731691661
AMSU,0.8413197172034564,20.081361716937245,642.6035210795857,31.99999731779115
ABEPF,0.8294972505891596,6.366459627329192,1000.6087968367714,157.16879638119045
AMXEF,0.8293008641005499,6.868607006967435,901.3205954408928,131.2232006470313
AWWI,0.8289473684210527,14.213825032885266,401.69506536748816,28.26087027511046
ASRE,0.8271013354281226,12.675381570993032,408.09441246448523,32.19582859725411
ACCR,0.8250589159465829,5.630268968285829,1144.3899606442099,203.2567124395527
ALL,0.8247839748625294,18.732745153712063,348.04490166017064,18.57949269070168
ALLT,0.8236449332285939,6.994146847447582,719.4645688167009,102.86666615804036
AEYGQ,0.8212097407698351,20.17472558871591,271.9189039873317,13.478195913575197
AMLC,0.8149253731343283,5.596369922212619,746.1826852507207,133.33333850734886
ATHJF,0.8140612725844462,5.58481514314022,726.6367725645493,130.10936869720226
AMKAF,0.809897879025923,5.378863966075215,691.8137031692179,128.6170662676216
AETUF,0.8097996857816182,5.453616013775291,657.3770205629438,120.53966009019976
BB,0.7961901021209741,5.211368780580366,446.76045887041056,85.72804529497468
ARTW,0.791555380989788,5.038496376811596,398.2282030992602,79.03711212972281
BBBT,0.7890809112333073,6.519756838905775,274.0082640400157,42.02737476417956
AUB,0.7882168106834251,12.424491141747055,2.117859202704109,0.1704584259059087
ASM,0.7856637863315005,5.538579067990832,310.41556554749957,56.046065558852
BBSRF,0.7837391987431265,7.791164658634536,164.52781179592108,21.117229452156884
AZNCF,0.7733896307934014,5.818031772230246,194.29603171195407,33.39549169176742
AZN,0.7714650432050275,5.818031772230246,182.65378502509412,31.394428936759965
BEEM,0.7648271798900236,19.868584718158125,0.0,394.6558008838592
ASPN,0.7612136684996071,14.456995930840176,0.0,682.1237291781542
ANAS,0.7581500392772977,12.324210385220201,0.0,1101.141192589713
AXIM,0.7580911233307149,7.491818606825619,8.277492350394853,1.104870897815575
ARYMF,0.755164964650432,15.971737863564506,0.0,782.3529435100564
AMMCF,0.7536527886881383,5.55813953488372,88.84438312011729,15.984554285209388
ACKAY,0.7529457973291438,5.307602045092615,98.15710115651311,18.49368138805145
ASNCF,0.7510801256873527,16.007962768782214,0.0,175.86327453268945
AMNI,0.745345640219953,15.97217441193345,0.0,129.4009841424029
BCHMF,0.7435388845247447,13.634578240817685,0.0,373.79455669906866
AFNL,0.7431068342498037,16.410703774640965,0.0,116.00000000000004
BGNX,0.7406716417910447,15.04913126358177,0.0,209.9999941792464
BBBK,0.737313432835821,5.715617715617717,1.2488603894284176,0.2184996358339278
AQQSQ,0.7364689709347997,11.556437412711828,0.0,400.0
AZTA,0.735329929300864,11.826691380908247,0.0,150.0972202671736
ASKH,0.7345836606441477,11.686122675951175,0.0,352.72377303098506
AGGI,0.7317949725058916,10.892387562502428,0.0,372.10359370744646
BABL,0.7286724273369992,9.370197139493055,0.0,599.0384550908441
BABLD,0.7286724273369992,9.370197139493055,0.0,599.0384550908441
AHFI,0.7276708562450903,8.111264454058746,0.0,402810.01324442605
BAJFF,0.7258641005498823,20.685495015825058,0.0,52.21164079899334
ABGSF,0.7229968578161822,13.454458827925688,0.0,110.26191062269054
BBTT,0.7174194815396701,9.423971839302457,0.0,203.3333327124519
AGSS,0.7160840534171249,5.95847666581958,0.0,33636.53894090793
