Security,Composite_Quality_Event_Rank,Net_Quality_Delta_Recency,Quality_Momentum_Score_Adj,Weighted_Winsor_Final_Return_Recency
APCX,0.9054202670856245,7.548185690528653,4690.658152756915,621.4285584736847
ACCR,0.8699135899450118,5.630268968285829,1144.3899606442099,203.2567124395527
ASLRF,0.8605655930871955,3.8307093616648515,3856.4491394802135,1006.7193241212577
ATHJF,0.8596229379418697,5.58481514314022,726.6367725645493,130.10936869720226
AYASF,0.8554595443833465,4.300686150309513,1473.1119456218787,342.52951602056834
AWWI,0.8550667714061272,11.116008855706202,314.148084248092,28.26087027511046
AMSU,0.8527101335428123,10.119155695420279,323.81295511175995,31.99999731779114
BFNH,0.8467399842890809,3.4844322871945224,1378.5681526591832,395.6363731691661
AEYGQ,0.8462686567164178,14.686608435350532,197.94898579762054,13.478195913575197
ALLT,0.8453260015710918,5.181391422712764,532.9924617143276,102.86666615804036
ASRE,0.8417124901806755,8.135162680417782,261.91830326950924,32.19582859725411
ALL,0.8389630793401414,10.672712135610732,198.29357711354274,18.57949269070168
AAEEF,0.8374705420267087,2.611134892287886,1401.1893021894407,536.6208028271237
BBBT,0.8336213668499609,6.519756838905775,274.0082640400157,42.02737476417956
ABEPF,0.8260015710919087,3.0073025873263357,472.6541280041201,157.16879638119045
ASM,0.8177533385703065,4.767099181880572,267.17715327322827,56.046065558852
AUB,0.816025137470542,11.04964657840548,1.883505362571608,0.1704584259059087
AMKAF,0.8106834249803613,2.5407954293178117,326.78965410503906,128.6170662676216
AMXEF,0.809033778476041,2.4035848755472937,315.40610039611227,131.2232006470313
AMLC,0.8063629222309504,2.275314215056508,303.37524044671216,133.33333850734886
AMMCF,0.797172034564022,5.55813953488372,88.84438312011729,15.984554285209388
AETUF,0.7949332285938727,1.908426112377077,230.04103489319422,120.53966009019977
ACKAY,0.7822466614296936,4.568295415901163,84.4845999081721,18.49368138805145
BB,0.7820109976433621,1.8236546608644395,156.33834936897836,85.72804529497468
ARTW,0.7779261586802829,1.7631600810061612,139.35508102513512,79.03711212972281
ASPN,0.7719952867242733,13.33673927501656,0.0,682.1237291781542
BEEM,0.7680675569520817,13.067199808785887,0.0,394.6558008838592
AQQSQ,0.7554202670856245,11.104750168612362,0.0,400.0
BGNX,0.7552631578947369,14.573595525383983,0.0,209.9999941792464
ARYMF,0.7550274941084054,10.174654021441594,0.0,782.3529435100564
BBSRF,0.7524744697564808,2.34665369923563,49.554824611511556,21.117229452156884
AZNCF,0.751413982717989,1.7523574945170415,58.52084014915023,33.39549169176742
ASPR,0.75,12.17663036692771,0.0,200.00002182783797
AIMLF,0.7499214454045562,10.19726907496392,0.0,389.36632666693293
ANAS,0.7499214454045562,7.526225501600317,0.0,1101.141192589713
AZN,0.7492144540455618,1.7523574945170415,55.014262833414,31.39442893675996
AMNI,0.7492144540455616,11.998657263504526,0.0,129.4009841424029
BABL,0.7459544383346426,8.601292014240078,0.0,599.038455090844
BABLD,0.7459544383346426,8.601292014240078,0.0,599.038455090844
ASNCF,0.7453652788688139,9.693422893123957,0.0,175.86327453268945
AFNL,0.7428515318146112,11.065831290853405,0.0,116.00000000000007
AGGI,0.7393165750196388,8.12898374741131,0.0,372.10359370744646
BDCM,0.7351139041633935,-1.002522370396722,2007.6875996771369,7055.11785288757
AXIM,0.7346425765907306,2.621670140021629,2.8966070413819813,1.104870897815575
AABVF,0.7328750981932444,7.538111538879083,0.0,306.6666679084305
BAJFF,0.730204241948154,14.92843460484355,0.0,52.21164079899334
ABGSF,0.7294186959937157,10.238433749156748,0.0,110.26191062269051
ALVLF,0.729261586802828,6.432491024810229,0.0,349.99999329447814
AHNR,0.727415553809898,10.712103349399522,0.0,136.36363913451356
BCHMF,0.7225058915946583,6.3672308768408685,0.0,373.79455669906866
