Variable Name,State,Price,Volume,Type,RPS,End Timepoint
ACLX,4.0603056246400655,33.869998931884766,399650.0,Short,0,2201
AESI,4.331709205750794,19.65999984741211,335860.0,Short,0,2201
AMLX,3.867263222318716,22.82999992370605,1133650.0,Short,0,2201
APGE,3.7577079371023325,21.030000686645508,635720.0,Short,0,2201
ATAT,4.1589605083303045,19.56999969482422,302200.0,Short,0,2201
ATMU,4.496439211115389,24.520000457763672,273380.0,Short,0,2201
BAM,5.030876752053435,34.13999938964844,1048650.0,Short,0,2201
BHVN,4.756444191840004,23.799999237060547,924080.0,Short,0,2201
BJDX,4.73495048457795,56.880001068115234,134746.0,Short,0,2201
BLCO,3.946952335268585,19.540000915527344,369480.0,Short,0,2201
BRZE,5.615534374900663,44.68999862670898,553150.0,Short,0,2201
CAVA,6.453274262119448,51.630001068115234,1889820.0,Short,0,2201
CEG,5.079766010212215,97.33999633789062,1824130.0,Short,0,2201
COCO,4.6066136818130765,26.059999465942383,368530.0,Short,0,2201
CR,5.220929285250867,93.5199966430664,333130.0,Short,0,2201
CRBG,4.1830576219178175,19.270000457763672,1285850.0,Short,0,2201
EE,4.167621120886589,20.76000022888184,145740.0,Short,0,2201
EMBC,3.419213607774532,21.290000915527344,688820.0,Short,0,2201
ESAB,4.937646967616544,67.5,250710.0,Short,0,2201
FG,5.3675446253130135,25.76000022888184,100260.0,Short,0,2201
FLNC,5.060762143189022,28.06999969482422,1049540.0,Short,0,2201
FTRE,5.169777695166672,33.099998474121094,1544780.0,Short,0,2201
GEHC,4.405259787616987,77.43000030517578,3524480.0,Short,0,2201
GFS,4.542488481990878,60.650001525878906,2003870.0,Short,0,2201
GPCR,5.349299158087317,35.470001220703125,199300.0,Short,0,2201
GTLB,5.032171381594407,48.43000030517578,1623600.0,Short,0,2201
HCP,4.490192964919982,29.0,1889920.0,Short,0,2201
INFA,3.728452686959043,18.780000686645508,293320.0,Short,0,2201
IOT,4.623638088043134,26.0,2571950.0,Short,0,2201
KNF,5.394823589599183,44.29999923706055,339910.0,Short,0,2201
KSCP,7.307342141706176,80.0,237804.4,Short,0,2201
KVUE,4.0333114005694375,24.690000534057617,11223900.0,Short,0,2201
MBLY,4.601768283489306,40.43999862670898,2283840.0,Short,0,2201
MSGE,4.588135859377987,34.66999816894531,274090.0,Short,0,2201
NXT,4.806240951159558,39.310001373291016,1299700.0,Short,0,2201
ODD,8.43069781345545,51.84999847412109,1246550.0,Short,0,2201
