Security,Clustering_Period_Return,Start_Price_Clustering,End_Price_Clustering,Post_Clustering_Return,Start_Price_Avg,End_Price_Avg,Clustering_Quartile
A,86.54616151957421,39.855014419555665,74.3479995727539,108.15683866567647,75.2620002746582,156.66300048828126,Q4_Best
AA,-51.74692046605804,39.57260398864746,19.095000076293946,135.26108523266905,20.83600006103516,49.018999862670896,Q2_Below_Avg
AAALY,60.19750925993566,23.290000915527344,37.310001373291016,-25.542750833206124,37.310001373291016,27.780000686645508,Q4_Best
AABB,-43.37678173211123,0.0154969999566674,0.00877490011043841,1619.689372641135,0.0065151999238878,0.1120412006974219,Q2_Below_Avg
AABVF,-81.5950923820803,0.16299999952316283,0.0299999993294477,306.6666679084305,0.0299999993294477,0.1219999976456164,Q1_Worst
AACAF,-5.717220383817188,5.8420000076293945,5.507999992370605,-13.591085111101492,5.923000001907349,5.118000030517578,Q3_Above_Avg
AACAY,-6.686208215876771,5.867299938201905,5.475000047683716,-23.567729741152608,5.986999940872193,4.575999975204468,Q3_Above_Avg
AACG,-60.86219428057329,4.128999996185303,1.61599999666214,28.934287653606525,1.8110000133514403,2.3349999666213987,Q2_Below_Avg
AACS,-64.02438924405736,0.0016400000080466202,0.00059000001929228,47.27272552410477,0.0005500000203027,0.000810000020283,Q2_Below_Avg
AAEEF,-99.09780527829032,1.6439909934997563,0.01483199996873727,536.6208028271237,0.0130799999460577,0.0832700006663798,Q1_Worst
AAGC,-79.13043437989107,0.00114999999059361,0.00024000000266818003,1376.1904851003037,0.0002099999968776,0.0030999999726191,Q1_Worst
AAGFF,-8.03108734282404,0.19300000071525572,0.1775000020861625,86.48332152444657,0.1709000006318091,0.3186999976634979,Q3_Above_Avg
AAGH,139.62318284544412,0.006900000153109391,0.01653399998322124,772.7056374058545,0.0138599997386335,0.1209569990634917,Q4_Best
AAGIY,69.71837469611076,22.08599987030029,37.484000015258786,17.903351618244333,38.71900062561035,45.65099945068359,Q4_Best
AAIGF,68.50778510913219,5.522000074386597,9.305000019073486,18.66638790591053,9.64300012588501,11.442999935150146,Q4_Best
AAIIQ,-0.8333319363494414,0.0299999993294477,0.029749999754130795,-67.84565927953473,0.062199998833239,0.0199999995529651,Q3_Above_Avg
